book bibliographic info,file,titleref,gcode
432,Culik,"Culík-Baird, <i>Cicero and the Early Latin Poets</i> (2022)",ES9lEAAAQBAJ
431,Gerson,"Gerson and Wilberding, <i>The New Cambridge Companion to Plotinus</i> (2022)",YNduEAAAQBAJ
430,Bexley,"Bexley, <i>Seneca's Characters: Fictional Identities and Implied Human Selves</i> (2022)",v2B2EAAAQBAJ
429,desilva,"deSilva, <i>Ephesians</i> (2022)",1hNkEAAAQBAJ
428,Wiater,"Konig and Wiater, <i>Late Hellenistic Greek Literature in Dialogue</i> (2022)",pIdoEAAAQBAJ
427,Repath,"Repath and Whitmarsh, <i>Reading Heliodorus' Aethiopica</i> (2022)",h81kEAAAQBAJ
426,Volk,"Williams and Vol, <i>Philosophy in Ovid, Ovid as Philosopher</i> (2022)",j_hQEAAAQBAJ
425,Athanassaki,"Athanassaki and Titchener, <i>Plutarch's Cities</i> (2022)",FH1ZEAAAQBAJ
424,Jim,"Jim, <i>Saviour Gods and Soteria in Ancient Greece</i> (2022)",CGxvEAAAQBAJ
423,Kraemer2020,"Kraemer, <i>The Mediterranean Diaspora in Late Antiquity: What Christianity Cost the Jews</i> (2020)",_STTDwAAQBAJ
422,Manolaraki,"Manolaraki, <i>Noscendi Nilum Cupido: Imagining Egypt from Lucan to Philostratus</i> (2012)",WNXLd-in2JoC
421,Roskovec,"Roskovec and Hušek, <i>Interactions in Interpretation: The Pilgrimage of Meaning through Biblical Texts and Contexts</i> (2021)",zDcHEAAAQBAJ
457,Motta,"Motta and Petrucci, <i>Isagogical Crossroads from the Early Imperial Age to the End of Antiquity</i> (2022)",F_1ZEAAAQBAJ
456,Xinyue,"Xinyue, <i>Politics and Divinization in Augustan Poetry</i> (2022)",ZpFwEAAAQBAJ
455,Maso,"Maso, <i>CIcero's Philosophy</i> (2022)",ix2QyAEACAAJ
454,Wilding,"Wilding, <i>Reinventing the Amphiareion at Oropos</i> (2022)",kWtPEAAAQBAJ
453,Kazantzidis_2022,"Kazantzidis and Spatharas, <i>Medical Understandings of Emotions in Antiquity: Theory, Practice, Suffering</i> (2012)",RkV3EAAAQBAJ
452,Luchese,"Del Lucchese, <i>Monstrosity and Philosophy: Radical Otherness in Greek and Latin Culture</i> (2019)",F7TSzQEACAAJ
451,vanderEijk 2005,"van der EIjk, <i>Medicine and Philosophy in Classical Antiquity: Doctors and Philosophers on Nature, Soul, Health and Disease</i> (2005)",GR1QfCdiDHIC
450,Jouanna,"Jouanna, <i>Sophocles: A Study of His Theater in Its Political and Social Context</i> (2018)",ysZaDwAAQBAJ
449,Barbato,"Barbato, <i>The Ideology of Democratic Athens: Institutions, Orators and the Mythical Past</i> (2020)",SaCxywEACAAJ
448,Faure,"Faure, <i>Conceptions of Time in Greek and Roman Antiquity</i> (2022)",ldpwEAAAQBAJ
447,Hirsch-Luipold,"Hirsch-Luipold, <i>Plutarch and the New Testament in Their Religio-Philosophical Contexts</i> (2022)",pfxZEAAAQBAJ
446,Baumann,"Baumann and Liotsakis, <i>Reading History in the Roman Empire</i> (2022)",63BREAAAQBAJ
445,Maaren,"van Maaren, <i>The Boundaries of Jewishness in the Southern Levant 200 BCE–132 CE</i> (2022)",LpZuEAAAQBAJ
444,Glowasky,"Glowalsky, <i>Rhetoric and Scripture in Augustine’s Homiletic Strategy: Tracing the Narrative of Christian Maturation</i> (2020)",oKUPEAAAQBAJ
443,Marcar,"Marcar, <i>Divine Regeneration and Ethnic Identity in 1 Peter: Mapping Metaphors of Family, Race, and Nation</i> (2022)",TZNsEAAAQBAJ
442,Graham,"Graham, <i>The Church as Paradise and the Way Therein: Early Christian Appropriation of Genesis 3:22–24</i> (2022)",aOEzDwAAQBAJ
441,Henderson,"Henderson, <i>The Springtime of the People: The Athenian Ephebeia and Citizen Training from Lykourgos to Augustus</i> (2020)",W175DwAAQBAJ
440,Edmonds_2019,"Edmonds, <i>Drawing Down the Moon: Magic in the Ancient Greco-Roman World</i> (2019)",7cQyEAAAQBAJ
439,Marincola,"Marincola et al., <i>Lloyd Llewellyn-Jones and Calum Maciver, Greek Notions of the Past in the Archaic and Classical Eras: History Without Historians</i> (2021)",WSCrBgAAQBAJ
438,Janowitz_2002,"Janowitz, <i>Icons of Power: Ritual Practices in Late Antiquity</i> (2002b)",U-LjFgt5r6MC
437,Brand,"Brand, <i>Religion and the Everyday Life of Manichaeans in Kellis: Beyond Light and Darkness</i> (2022)",nr2zzgEACAAJ
462,Despotis,"Despotis and Lohr, <i>Religious and Philosophical Conversion in the Ancient Mediterranean Traditions</i> (2022)",Fp1jEAAAQBAJ
461,Iribarren and Koning,"Iribarren and Koning, <i>Hesiod and the Beginnings of Greek Philosophy</i> (2022)",ijVuEAAAQBAJ
460,Kapparis,"Kapparis, <i>Women in the Law Courts of Classical Athens</i> (2021)",gNy_zQEACAAJ
459,garcia2021,"Garcia, <i>On Human Nature in Early Judaism: Creation, Composition, and Condition</i> (2021)",SmaFzQEACAAJ
458,Brule,"Brule, <i>Women of Ancient Greece</i> (2003)",RsayAAAAIAAJ
486,Ker,"Ker and Wessels, <i>The Values of Nighttime in Classical Antiquity: Between Dusk and Dawn</i> (2020)",sKnwDwAAQBAJ
485,Luck,"Luck, <i>Arcana mundi: magic and the occult in the Greek and Roman worlds: a collection of ancient texts</i> (2006)",g7EKsAdHdL4C
484,Fertik,"Fertik, <i>The Ruler's House: Contesting Power and Privacy in Julio-Claudian Rome</i> (2019)",ct7FDwAAQBAJ
483,Simon,"Simon, Zeyl, and Shapiro,, <i>The Gods of the Greeks</i> (2021)",OzQXEAAAQBAJ
482,Gazis,"Gazis and Hooper, <i>Aspects of Death and the Afterlife in Greek Literature</i> (2021)",Qbo0EAAAQBAJ
481,Witte,"Witter et al., <i>Torah, Temple, Land: Constructions of Judaism in Antiquity</i> (2021)",PrIpzwEACAAJ
480,O'Daly,"O'Daly, <i>Days Linked by Song: Prudentius' Cathemerinon</i> (2012)",UBhv9GioYq8C
479,Bosak-Schroeder,"Bosak-Schroeder, <i>Other Natures: Environmental Encounters with Ancient Greek Ethnography</i> (2020)",xrHRDwAAQBAJ
478,Mackay,"Mackay, <i>Animal Encounters in Valerius Flaccus’ Argonautica</i> (2022)",Hyd_EAAAQBAJ
477,Schultz,"Schultz and Wilberding, <i>Women and the Female in Neoplatonism</i> (2022)",w6CCEAAAQBAJ
476,Papazarkadas,"Papazarkadas, <i>Sacred and Public Land in Ancient Athens</i> (2011)",3_TxcDX-fQoC
475,Kalmin,"Kalmin, <i>Migrating tales: the Talmud's narratives and their historical context</i> (2014)",AjglDQAAQBA
474,Gee2020,"Gee, <i>Mapping the Afterlife: From Homer to Dante</i> (2020)",mqbaDwAAQBAJ
473,Schibli,"Schibli, <i>Hierocles of Alexandria</i> (2002)",unV7wg3-cYAC
472,Feder,"Feder, <i>Purity and Pollution in the Hebrew Bible: From Embodied Experience to Moral Metaphor</i> (2022)",O2lHEAAAQBAJ
471,James,"James, <i>Learning the Language of Scripture: Origen, Wisdom, and the Logic of Interpretation</i> (2021)",AZAcEAAAQBAJ
470,Mackil_Papazarkadas,"Mackil and Papazarkadas, <i>Greek Epigraphy and Religion: Papers in Memory of Sara B</i> (2020)",ykswEAAAQBAJ
469,VanNuffelen,"Van Nuffelen, <i>Orosius and the Rhetoric of History</i> (2012)",Km2V25QEfQ4C
468,Birnbaum_Dillon,"Birnbaum and Dillon, <i>Philo of Alexandria: On the Life of Abraham: Introduction, Translation, and Commentary</i> (2020)",j_b_DwAAQBAJ
467,Gabrielsen,"Gabrielsen and Paganini, <i>Private Associations in the Ancient Greek World: Regulations and the Creation of Group Identity</i> (2021)",YCJJEAAAQBAJ
466,Bacchi,"Bacchi, <i>Uncovering Jewish Creativity in Book III of the Sibylline Oracles: Gender, Intertextuality, and Politics</i> (2022)",KC_gDwAAQBAJ
465,Wilson_2010,"Wilson, <i>Philo of Alexandria: On Virtues: Introduction, Translation, and Commentary</i> (2010)",kfJ5DwAAQBAJ
464,Gee,"Gee, <i>Aratus and the Astronomical Tradition</i> (2013)",FlJpAgAAQBAJ
463,Rutledge,"Rutledge, <i>Ancient Rome as a Museum: Power, Identity, and the Culture of Collecting</i> (2012)",JIGwbHxTnnUC
515,Vlassopoulos,"Vlassopoulos, <i>Historicising Ancient Slavery</i> (2021)",IMP3zgEACAAJ
514,Gygax,"Gygax, <i>Benefaction and Rewards in the Ancient Greek City: The Origins of Euergetism</i> (2016)",9Z5ODAAAQBAJ
513,Dignas,"Dignas, <i>Economy of the Sacred in Hellenistic and Roman Asia Minor</i> (2002)",NS0bSJJZ-pAC
512,Huttner,"Huttner, <i>Early Christianity in the Lycus Valley</i> (2013)",3HZfAgAAQBAJ
511,Pilhofer,"Mitchell and Pilhofer, <i>Early Christianity in Asia Minor and Cyprus: From the Margins to the Mainstream</i> (2019)",EESxDwAAQBAJ
510,Marek,"Marek, <i>In the Land of a Thousand Gods: A History of Asia Minor in the Ancient World</i> (2019)",iUFvDwAAQBAJ
509,Harkins,"Harkins and Maier, <i>Experiencing the Shepherd of Hermas</i> (2022)",VkV3EAAAQBAJ
508,Rupke_c,"Rüpke, <i>The Roman Calendar from Numa to Constantine Time, History and the Fasti</i> (2011)",pThna2LDwDsC
507,Goldman,"Goldman, <i>Color-Terms in Social and Cultural Context in Ancient Rome</i> (2013)",wxACfAEACAAJ
506,Finkelberg_2019,"Finkelberg, <i>Homer and Early Greek Epic: Collected Essays</i> (2019)",q-y_DwAAQBAJ
505,Papadodima,"Papadodima, <i>Ancient Greek Literature and the Foreign: Athenian Dialogues II</i> (2022)",0OtcEAAAQBAJ
504,Konrad,"Konrad, <i>The Challenge to the Auspices: Studies on Magisterial Power in the Middle Roman Republic</i> (2022)",cxx-EAAAQBAJ
503,Hallmannsecker,"Hallmannsecker, <i>Roman Ionia: Constructions of Cultural Identity in Western Asia Minor</i> (2022)",BodoEAAAQBAJ
502,Champion,"Champion, <i>Dorotheus of Gaza and Ascetic Education</i> (2022)",7dV2EAAAQBAJ
501,Ebrey,"Ebrey and Kraut, <i>The Cambridge Companion to Plato, 2nd ed</i> (2022)",aYR8EAAAQBAJ
500,Shilo,"Shilo, <i>Beyond Death in the Oresteia: Poetics, Ethics, and Politics</i> (2022)",nMGFEAAAQBAJ
499,Morgan_2022,"Morgan, <i>The New Testament and the Theology of Trust: 'This Rich Trust'</i> (2022)",G6B1EAAAQBAJ
498,Ward,"Ward, <i>Clement and Scriptural Exegesis: The Making of a Commentarial Theologian</i> (2022)",iZ91EAAAQBAJ
497,Hawes,"Hawes, <i>Rationalizing Myth in Antiquity</i> (2014)",9DOTAwAAQBAJ
496,O'Daly2020,"O'Daly, <i>Augustine's City of God: A Reader's Guide (2nd edn)</i> (2020)",CocEEAAAQBAJ
495,Borg,"Borg, <i>Paideia: the World of the Second Sophistic: The World of the Second Sophistic</i> (2008)",sCQw8qpxO9AC
494,Verhelst,"Verhelst and Scheijnens, <i>Greek and Latin Poetry of Late Antiquity: Form, Tradition, and Context</i> (2022)",1eZwEAAAQBAJ
493,Boulluec,"Boulluec, <i>The Notion of Heresy in Greek Literature in the Second and Third Centuries</i> (2022)",jFt9EAAAQBAJ
492,Kirkland,"Kirkland, <i>Herodotus and Imperial Greek Literature: Criticism, Imitation, Reception</i> (2022)",qZ91EAAAQBAJ
491,Agri,"Agri, <i>Reading Fear in Flavian Epic: Emotion, Power, and Stoicism</i> (2022)",v9JyEAAAQBAJ
490,Wiater,"König and Wiater, <i>Late Hellenistic Greek Literature in Dialogue</i> (2022)",pIdoEAAAQBAJ
489,Rowland,"Rowland, <i>The Mystery of God: Early Jewish Mysticism and the New Testament</i> (2009)",NlJc8FGy1Q4C
488,Hayes_2022,"Hayes, <i>The Literature of the Sages: A Re-Visioning</i> (2022)",ETh7EAAAQBAJ
487,Beatrice,"Beatrice, <i>The Transmission of Sin: Augustine and the Pre-Augustinian Sources</i> (2013)",wv7HNm6BPxcC
538,Bruun,"Bruun and Edmondson, <i>The Oxford Handbook of Roman Epigraphy</i> (2015)",Z2bDBAAAQBAJ
537,DeJong,"DeJong, <i>A Prophet like Moses (Deut 18:15, 18): The Origin, History, and Influence of the Mosaic Prophetic Succession</i> (2022)",GuErzwEACAAJ
536,Bloch,"Bloch, <i>Ancient Jewish Diaspora: Essays on Hellenism</i> (2022)",oa-SEAAAQBAJPP4
535,Verhagen,"Verhagen, <i>Security and Credit in Roman Law: The Historical Evolution of Pignus and Hypotheca</i> (2022)",zz2HEAAAQBAJ
534,Joho,"Joho, <i>Style and Necessity in Thucydides</i> (2022)",giyWEAAAQBAJPA47
532,Klein,"Klein and Wienand, <i>City of Caesar, City of God: Constantinople and Jerusalem in Late Antiquity</i> (2022)",E6uYEAAAQBAJPT23
531,Csapo,"Csapo et al., <i>Theatre and Autocracy in the Ancient World</i> (2022)",VISIEAAAQBAJPT12
530,Arthur-Montagne,"Arthur-Montagne, DiGiulio and Kuin, <i>Documentality: New Approaches to Written Documents in Imperial Life and Literature</i> (2022)",OmOVEAAAQBAJ
529,Cosgrove,"Cosgrove, <i>Music at Social Meals in Greek and Roman Antiquity: From the Archaic Period to the Age of Augustine</i> (2022)",vEKdEAAAQBAJPR4
528,Amendola,"Amendola, <i>The Demades Papyrus (P.Berol. inv. 13045): A New Text with Commentary</i> (2022)",z4WFEAAAQBAJPP1
527,Breytenbach,"Breytenbach and Tzavella, <i>Early Christianity in Athens, Attica, and Adjacent Areas</i> (2022)",eJScEAAAQBAJ
526,Radicke,"Radicke, <i>Roman Women’s Dress: Literary Sources, Terminology, and Historical Development</i> (2022)",TAmKEAAAQBAJPP5
525,Edmondson,"Edmondson, <i>Roman Dress and the Fabrics of Roman Culture</i> (2008)",bYCCpqdgSAgC
524,Berglund,"Berglund Crostini and Kelhoffer, <i>Why We Sing: Music, Word, and Liturgy in Early Christianity</i> (2022)",vI2cEAAAQBAJPR3
523,Wilson2022,"Wilson, <i>Paul and the Jewish Law: A Stoic Ethical Perspective on his Inconsistency</i> (2022)",9NGLEAAAQBAJ
522,Schick,"Schick, <i>Intention in Talmudic Law: Between Thought and Deed</i> (2021)",lkk2EAAAQBAJPP4
521,Bay,"Bay, <i>Biblical Heroes and Classical Culture in Christian Late Antiquity: The Historiography, Exemplarity, and Anti-Judaism of Pseudo-Hegesippus</i> (2022)",uBOUEAAAQBAJ
520,Dimas,"Dimas Falcon and Kelsey, <i>Aristotle: On Generation and Corruption Book II Introduction, Translation, and Interpretative Essays</i> (2022)",phOUEAAAQBAJ
519,Eisenfeld,"Eisenfeld, <i>Pindar and Greek Religion Theologies of Mortality in the Victory Odes</i> (2022)",YT2XEAAAQBAJPR4
518,Dunne,"Allen and Dunne, <i>Ancient Readers and their Scriptures: Engaging the Hebrew Bible in Early Judaism and Christianity</i> (2022)",9IN1DwAAQBAJPR4
517,Green,"Neusner Green and Avery-Peck, <i>Judaism from Moses to Muhammad: An Interpretation: Turning Points and Focal Points</i> (2022)",9dkJd_a_co4C
516,Steiner,"Steiner, <i>Images in Mind: Statues in Archaic and Classical Greek Literature and Thought</i> (2001)",e83xDwAAQBAJ
600,Yates,"Yates and Dupont, <i>The Bible in Christian North Africa: Part I: Commencement to the Confessiones of Augustine (ca. 180 to 400 CE)</i> (2020)",OhTzDwAAQBAJ
599,Kahlos,"Kahlos, <i>Religious Dissent in Late Antiquity, 350-450</i> (2019)",39C8DwAAQBAJ
598,Rasimus,"Rasimus, <i>Paradise Reconsidered in Gnostic Mythmaking: Rethinking Sethianism in Light of the Ophite Evidence</i> (2009)",pxWwCQAAQBAJ
597,Bull,"Bull, Lied and Turner, <i>Mystery and Secrecy in the Nag Hammadi Collection and Other Ancient Literature: Ideas and Practices: Studies for Einar Thomassen at Sixty</i> (2011)",qCwaSTk5iEcC
596,Pollmann,"Pollmann and Vessey, <i>Augustine and the Disciplines: From Cassiciacum to Confessions</i> (2007)",UbuVPwAACAAJ
595,Karfikova,"Karfíková, <i> Grace and the Will According to Augustine</i> (2012)",3ySdEZQgGpoC
594,Linjamaa,"Linjamaa, <i>The Ethics of The Tripartite Tractate (NHC I, 5): A Study of Determinism and Early Christian Philosophy of Ethics</i> (2019)",BUyeDwAAQBAJ
593,Nisula,"Nisula, <i>Augustine and the Functions of Concupiscence</i> (2012)",7bDvK6V_Y4EC
592,Richter,"Richter et al., <i>Mani in Dublin: Selected Papers from the Seventh International Conference of the International Association of Manichaean Studies</i> (2015)",nzNzBwAAQBAJ
591,Scopello,"Scopello, <i>The Gospel of Judas in Context: Proceedings of the First International Conference on the Gospel of Judas</i> (2008)",1O55DwAAQBAJ
590,Corrigan,"Corrigan and Rasimus, <i>Gnosticism, Platonism and the Late Ancient World</i> (2013)",BfiZAAAAQBAJ
589,Stanton,"Stanton, <i>Unity and Disunity in Greek and Christian Thought under the Roman Peace</i> (2021)",PMZFEAAAQBAJ
588,Kloha,"Doble and Kloha, <i>Texts and Traditions: Essays in Honour of J. Keith Elliott</i> (2014)",OAuJBAAAQBAJ
587,Surr,"Dürr, <i>Paul on the Human Vocation: Reason Language in Romans and Ancient Philosophical Tradition</i> (2022)",DHFOEAAAQBAJ
586,Yona,"Yona, <i> Epicurean Ethics in Horace: The Psychology of Satire</i> (2018)",8Y5HDwAAQBAJ
585,Humphreys,"Humphreys, <i>Kinship in Ancient Athens: An Anthropological Analysis</i> (2018)",L9F2DwAAQBAJ
584,Kalinowski,"Kalinowski, <i>Memory, Family, and Community in Roman Ephesos</i> (2021)",SW8yEAAAQBAJ
583,Edelmann-Singer,"Edelmann-Singer et al., <i>Sceptic and Believer in Ancient Mediterranean Religions</i> (2020)",uE5SzQEACAAJ
582,Meister,"Meister, <i>Greek Praise Poetry and the Rhetoric of Divinity</i> (2019)",LdG8DwAAQBAJ
581,Gunderson_Keddie,"Gunderson, <i>The Social Worlds of Ancient Jews and Christians: Essays in Honor of L. Michael White</i> (2022)",PsudEAAAQBAJ
580,Altmann,"Altmann, <i>Banned Birds: the Birds of Leviticus 11 and Deuteronomy 14</i> (2019)",IjfBDwAAQBAJ
579,Zawanowska,"Zawanowska and Wilk, <i>The Character of David in Judaism, Christianity and Islam: Warrior, Poet, Prophet and King</i> (2022)",wIRSEAAAQBAJ
578,Kingsley,"Kingsley Monti and Rood, <i>The Authoritative Historian: Tradition and Innovation in Ancient Historiography</i> (2022)",qXmaEAAAQBAJ
577,Iricinschi,"Iricinschi et al., <i>Beyond the Gnostic Gospels: Studies Building on the Work of Elaine Pagels</i> (2013)",sjCHngEACAAJ
576,Bezzel,"Bezzel and Pfeiffer, <i>Prophecy and Hellenism</i> (2021)",L4mJzgEACAAJ
575,Smith,"Smith and Stuckenbruck, <i>Testing and Temptation in Second Temple Jewish and Early Christian Texts</i> (2020)",qIejzQEACAAJ
574,Raaflaub,"Raaflaub Ober and Wallace, <i>Origins of Democracy in Ancient Greece</i> (2007)",6qaSHHMaGVkC
573,Tellbe,"Tellbe Wasserman and Nyman, <i>Healing and Exorcism in Second Temple Judaism and Early Christianity</i> (2019)",Kj53ygEACAAJ
572,Tanaseanu-Dobler,"Tanaseanu-Döbler and von Alvensleben, <i>Athens II: Athens in Late Antiquity</i> (2020)",golSzQEACAAJ
571,Langworthy,"Langworthy, <i>Gregory of Nazianzus’ Soteriological Pneumatology</i> (2019)",67DDDwAAQBAJ
570,Gray,"Gray, <i>Gregory of Nyssa as Biographer: Weaving Lives for Virtuous Readers</i> (2021)",seYuEAAAQBAJ
569,Wilson,"Wilson, <i>Augustine's Conversion from Traditional Free Choice to ""Non-free Free Will"": A Comprehensive Methodology</i> (2018)",OxhdDwAAQBAJ
568,Tefera,"Tefera and Stuckenbruck, <i>Representations of Angelic Beings in Early Jewish and in Christian Traditions</i> (2021)",4JYGzgEACAAJ
567,Westeinde,"van 't Westeinde, <i>Roman Nobilitas in Jerome's Letters: Roman Values and Christian Asceticism for Socialites</i> (2021)",689EEAAAQBAJ
566,Rubenstein2018,"Rubenstein, <i>The Land of Truth: Talmud Tales, Timeless Teachings</i> (2018)",C459DwAAQBAJ
565,Pamias,"Pamias, <i>Apollodoriana: Ancient Myths, New Crossroads</i> (2017)",Eec3DwAAQBAJ
564,Holladay,"Potter Suh and Holladay, <i>Hellenistic Jewish Literature and the New Testament: Collected Essays</i> (2021)",abzRvAEACAAJ
563,Williams_epiphanius,"Williams, <i>Williams, The Panarion of Epiphanius of Salamis: Book I: (Sects 1-46)</i> (2009)",IKyxt9kyys8C
562,Konig_2022,"Konig, <i>The Folds of Olympus: Mountains in Ancient Greek and Roman Culture</i> (2022)",EytaEAAAQBAJ
561,Azar,"Azar, <i>Exegeting the Jews: the early reception of the Johannine ""Jews""</i> (2016)",vswJDAAAQBAJ
560,Parkins,"Parkins and Smith, <i>Trade, Traders and the Ancient City</i> (1998)",v6OXL9yi2fMC
559,Kirichenko,"Kirichenko, <i>Greek Literature and the Ideal: The Pragmatics of Space from the Archaic to the Hellenistic Age</i> (2022)",or6CEAAAQBAJ
558,Rohland,"Rohland, <i>Carpe Diem: The Poetics of Presence in Greek and Latin Literature</i> (2022)",Gg-cEAAAQBAJ
557,King 2006,"King, <i>Common to Body and Soul: Philosophical Approaches to Explaining Living Behaviour in Greco-Roman Antiquity</i> (2006)",U4N60HIoQNgC
556,Pierce,"Pierce et al., <i>Gospel Reading and Reception in Early Christian Literature</i> (2022)",cmtYEAAAQBAJ
555,Joseph,"Joseph, <i>Thunder and Lament: Lucan on the Beginnings and Ends of Epic</i> (2022)",_SNeEAAAQBAJ
554,Croix,"de Ste. Croix et al., <i>Christian Persecution, Martyrdom, and Orthodoxy</i> (2006)",JqiwFasztjMC
553,Beneker,"Beneker et al., <i>Plutarch’s Unexpected Silences: Suppression and Selection in the Lives and Moralia</i> (2022)",_5x1EAAAQBAJ
552,Cueva2,"Cueva et al., <i>Re-Wiring the Ancient Novel. Volume 2: Roman Novels and Other Important Texts</i> (2018b)",tBuWDwAAQBAJ
551,Cueva1,"Cueva et al., <i>Re-Wiring the Ancient Novel. Volume 1: Greek Novels</i> (2018a)",tBuWDwAAQBAJ
550,Toloni,"Toloni, <i>The Story of Tobit: A Comparative Literary Analysis</i> (2022)",G7CSEAAAQBAJ
549,Mendez,"Mendez, <i>The Cult of Stephen in Jerusalem: Inventing a Patron Martyr</i> (2022)",BaCTEAAAQBAJ
548,Phang,"Phang, <i>The Marriage of Roman Soldiers (13 B.C. - A.D. 235)</i> (2001)",jyFdUxqYZ48C
547,Widdicombe,"Widdicombe, <i>The Fatherhood of God from Origen to Athanasius</i> (2000)",Q9PYAAAAMAAJ
546,Lalonde,"Lalone, <i>Athena Itonia: Geography and Meaning of an Ancient Greek War Goddess</i> (2019)",Mh24DwAAQBAJ
545,Tupamahu,"Tupamahu, <i>Contesting Languages: Heteroglossia and the Politics of Language in the Early Church</i> (2022)",fWiLEAAAQBAJ
544,Trott,"Trott, <i>Aristotle on the Matter of Form: ? Feminist Metaphysics of Generation</i> (2019)",UjiLwgEACAAJ
543,Vazquez,"Vazques and Ross, <i>Time and Cosmology in Plato and the Platonic Tradition</i> (2022)",OMRfEAAAQBAJ
542,Sneed,"Sneed, <i>Taming the Beast: A Reception History of Behemoth and Leviathan</i> (2022)",M9twEAAAQBAJ
541,Laemmle,"Laemmle, <i>Lists and Catalogues in Ancient Literature and Beyond: Towards a Poetics of Enumeration</i> (2021)",STcYEAAAQBAJ
540,ClayVergados,"Clay and Vergados, <i>Teaching through Images: Imagery in Greco-Roman Didactic Poetry</i> (2022)",HQxWEAAAQBAJ
539,Augoustakis_past,"Augoustakis, <i>Flavian Poetry and its Greek Past</i> (2014)",KXPAAgAAQBAJ
631,Mathews,"Mathews, <i>Riches, Poverty, and the Faithful: Perspectives on Wealth in the Second Temple Period and the Apocalypse of John</i> (2013)",n4khAwAAQBAJ
630,Siegal 2013,"Bar Asher Siegal, <i>Early Christian Monastic Literature and the Babylonian Talmud</i> (2013)",KQ7rAQAAQBAJ
629,Fisch,"Fisch,, <i>Written for Us: Paul’s Interpretation of Scripture and the History of Midrash</i> (2023)",IrCqEAAAQBAJ
628,trettel,"Trettel, <i>Desires in Paradise: An Interpretative Study of Augustine's City of God 14</i> (2019)",BGr9tgEACAAJ
627,Jacobus,"Jacobus, de Hemmer Gudme, and Guillaume, <i>Studies on Magic and Divination in the Biblical World</i> (2013)",-3U8mgEACAAJ
626,yam,"Cheuk-Yin Yam, <i>Trinity and Grace in Augustine</i> (2019)",x6zdxQEACAAJ
625,Langstaff,"Langstaff, Stuckenbruck, and Tilly,, <i>The Lord’s Prayer</i> (2022)",y67yzgEACAAJ
624,Bakker_Berg,"de Bakker, van den Berg, and Klooster, <i>Emotions and Narrative in Ancient Literature and Beyond</i> (2022)",iLxtEAAAQBAJ
623,Berno,"Romana Berno, <i>Roman Luxuria: A Literary and Cultural History</i> (2023)",fx6uEAAAQBAJ
622,Faulkner,"Faulkner and Hodkinson, <i>Hymnic Narrative and the Narratology of Greek Hymns</i> (2015)",7MVWCgAAQBAJ
621,demarco,"DeMarco,, <i>Augustine and Porphyry: A Commentary on De ciuitate Dei 10</i> (2021)",6LxTzgEACAAJ
620,beduhn1,"Beduhn, <i>Augustine's Manichaean Dilemma, vol. 1</i> (2013)",IgxXPP-5-iQC
619,Bickart,"Bickart, <i>The Scholastic Culture of the Babylonian Talmud</i> (2022)",L2RWzwEACAAJ
618,Schlapbach,"Gianvittorio-Ungar and Schlapbach, <i>Choreonarratives: Dancing Stories in Greek and Roman Antiquity and Beyond</i> (2021)",aHkxEAAAQBAJ
617,Cain 2023,"Cain, <i>Mirrors of the Divine: Late Ancient Christianity and the Vision of God</i> (2023)",hJynEAAAQBAJ
616,Papaioannou,"Papaioannou, Serafim and Demetriou, <i>Rhetoric and Religion in Ancient Greece and Rome</i> (2021)",T4WFEAAAQBAJ
615,Edwards_court,"Edwards, <i>In the Court of the Gentiles: Narrative, Exemplarity, and Scriptural Adaptation in the Court-Tales of Flavius Josephus</i> (2023)",_3arzwEACAAJ
614,Ferrandiz,"Ferrándiz, <i>Shipwrecks, Legal Landscapes and Mediterranean Paradigms: Gone Under Sea</i> (2022)",2JFwEAAAQBAJ
613,Brenk,"Brenk and Lanzillotta, <i>Plutarch on Literature, Graeco-Roman Religion, Jews and Christians</i> (2023)",INdSzwEACAAJ
612,Fletcher_ass,"Fletcher, <i>The Ass of the Gods: Apuleius' Golden Ass, the Onos Attributed to Lucian, and Graeco-Roman Metamorphosis Literature</i> (2023)",r1OGzwEACAAJ
611,Leao,"Leão and Lanzillotta, <i>A Man of Many Interests: Plutarch on Religion, Myth, and Magic</i> (2019)",cgL1DwAAQBAJ
610,Balberg 2023,"Balberg, <i>Fractured Tablets: Forgetfulness and Fallibility in Late Ancient Rabbinic Culture</i> (2023)",CXOrEAAAQBAJ
609,Avemarie,"Avemarie, van Henten, and Furstenberg, <i>Jewish Martyrdom in Antiquity</i> (2023)",xeyyEAAAQBAJ
608,Erker,"Erker, <i>Ambiguity and Religion in Ovid’s Fasti: Religious Innovation and the Imperial Family</i> (2023)",1-JrzwEACAAJ
607,Pausch,"Pausch and Pieper, <i>The Scholia on Cicero’s Speeches: Contexts and Perspectives</i> (2023)",o4KrzwEACAAJ
606,Ployd,"Ployd, <i>Augustine, Martyrdom, and Classical Rhetoric</i> (2023)",Mb2-EAAAQBAJ
605,Hug,"Hug, <i>Fertility, Ideology, and the Cultural Politics of Reproduction at Rome</i> (2023)",Tm6qzwEACAAJ
604,Eliav,"Eliav, <i>A Jew in the Roman Bathhouse: Cultural Interaction in the Ancient Mediterranean</i> (2023)",HJycEAAAQBAJ
603,Pomeroy,"Pomeroy, <i>Chrysostom as Exegete: Scholarly Traditions and Rhetorical Aims in the Homilies on Genesis</i> (2021)",eytVEAAAQBAJ
